,group,website,coder
2895,DC Monuments at Night Photo Safari,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3652P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3652P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11474029-DC_Monuments_at_Night_Photo_Safari-Washington_DC_District_of_Columbia.html', 'title', '3652P5', '10');",d11474029
2913,Little Ethiopia Food Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('39348P15','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('39348P15','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13198459-Little_Ethiopia_Food_Tour-Washington_DC_District_of_Columbia.html', 'title', '39348P15', '11');",d13198459
2931,Dupont Circle and Embassy Row Architecture Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('33458P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('33458P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483935-Dupont_Circle_and_Embassy_Row_Architecture_Tour-Washington_DC_District_of_Columbia.html', 'title', '33458P3', '12');",d11483935
2949,Bike Tour of DC Monuments and Arlington Cemetery,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P11','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11484006-Bike_Tour_of_DC_Monuments_and_Arlington_Cemetery-Washington_DC_District_of_Columbia.html', 'title', '3707P11', '13');",d11484006
2967,Total DC Tour: American Art & DC Unveiled,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P76','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P76','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13111541-Total_DC_Tour_American_Art_DC_Unveiled-Washington_DC_District_of_Columbia.html', 'title', '5713P76', '14');",d13111541
2985,Museum of American History Through Music Small Group Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P75','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P75','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13107688-Museum_of_American_History_Through_Music_Small_Group_Tour-Washington_DC_District_of_Columbia.html', 'title', '5713P75', '15');",d13107688
3006,Total DC Tour: DC Unveiled & Music History,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P80','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P80','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13107693-Total_DC_Tour_DC_Unveiled_Music_History-Washington_DC_District_of_Columbia.html', 'title', '5713P80', '16');",d13107693
3024,Georgetown Architecture Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('33458P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('33458P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483936-Georgetown_Architecture_Tour-Washington_DC_District_of_Columbia.html', 'title', '33458P4', '17');",d11483936
3042,Lincoln History Tour by Pedicab,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('42239P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('42239P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990214-Lincoln_History_Tour_by_Pedicab-Washington_DC_District_of_Columbia.html', 'title', '42239P2', '18');",d11990214
3060,Smithsonian American Art Small Group Adventure,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P79','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P79','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13107685-Smithsonian_American_Art_Small_Group_Adventure-Washington_DC_District_of_Columbia.html', 'title', '5713P79', '19');",d13107685
3078,Private Civil War History Walking Tour of Alexandria,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11481730-Private_Civil_War_History_Walking_Tour_of_Alexandria-Washington_DC_District_of_Columbia.html', 'title', '25828P3', '20');",d11481730
3096,Washington DC National Archives Building and Capitol Hill Private Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P30','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P30','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13003957-Washington_DC_National_Archives_Building_and_Capitol_Hill_Private_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P30', '21');",d13003957
3114,Private Customized Tour of Washington DC with US Veteran,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P10','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P10','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11485674-Private_Customized_Tour_of_Washington_DC_with_US_Veteran-Washington_DC_District_of_Columbia.html', 'title', '25828P10', '22');",d11485674
3132,Washington DC Daytime Private Tour with Hotel Pickup,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('17184P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('17184P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12944454-Washington_DC_Daytime_Private_Tour_with_Hotel_Pickup-Washington_DC_District_of_Columbia.html', 'title', '17184P4', '23');",d12944454
3150,Private Washington D.C. Monuments Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8839P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8839P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11461730-Private_Washington_D_C_Monuments_Tour-Washington_DC_District_of_Columbia.html', 'title', '8839P3', '24');",d11461730
3168,Private Guided Tour of the The National Archives Building,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P28','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P28','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13003955-Private_Guided_Tour_of_the_The_National_Archives_Building-Washington_DC_District_of_Columbia.html', 'title', '40048P28', '25');",d13003955
3186,Smithsonian Museum of Natural History and National Gallery of Art...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P25','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P25','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12648018-Smithsonian_Museum_of_Natural_History_and_National_Gallery_of_Art_Combo_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P25', '26');",d12648018
3204,Private US Army and Pentagon Tour in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P8','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P8','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11481971-Private_US_Army_and_Pentagon_Tour_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '25828P8', '27');",d11481971
3222,Private Combo Tour: Smithsonian National Museum of Natural History...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P24','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P24','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12648017-Private_Combo_Tour_Smithsonian_National_Museum_of_Natural_History_and_National_Gallery_of_Art-Washington_DC_District_of_Columbia.html', 'title', '40048P24', '28');",d12648017
3240,Washington D.C. Private Tour with a Political Insider,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5411P70','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5411P70','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12576520-Washington_D_C_Private_Tour_with_a_Political_Insider-Washington_DC_District_of_Columbia.html', 'title', '5411P70', '29');",d12576520
3258,Small Group Tour of the Smithsonian Museum of Natural History,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P27','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P27','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12648020-Small_Group_Tour_of_the_Smithsonian_Museum_of_Natural_History-Washington_DC_District_of_Columbia.html', 'title', '40048P27', '0');",d12648020
3276,Mount Vernon Day Tour from Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('26722P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('26722P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988455-Mount_Vernon_Day_Tour_from_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '26722P3', '1');",d11988455
3294,Private Marine Corps Tour in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P6','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P6','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11481844-Private_Marine_Corps_Tour_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '25828P6', '2');",d11481844
3312,Private Tour of Washington DC War Memorials and Heros by Van,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('32041P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('32041P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988737-Private_Tour_of_Washington_DC_War_Memorials_and_Heros_by_Van-Washington_DC_District_of_Columbia.html', 'title', '32041P5', '3');",d11988737
3330,Washington DC Day Bike Rental,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384WDCRENT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384WDCRENT','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11447235-Washington_DC_Day_Bike_Rental-Washington_DC_District_of_Columbia.html', 'title', '2384WDCRENT', '4');",d11447235
3348,Small Group Tour of the National Gallery of Art,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990463-Small_Group_Tour_of_the_National_Gallery_of_Art-Washington_DC_District_of_Columbia.html', 'title', '40048P11', '5');",d11990463
3366,Private Walking Tour of Capitol Hill,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P19','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P19','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11991583-Private_Walking_Tour_of_Capitol_Hill-Washington_DC_District_of_Columbia.html', 'title', '40048P19', '6');",d11991583
3384,Small Group Walking Tour of Capitol Hill,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P18','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P18','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11991586-Small_Group_Walking_Tour_of_Capitol_Hill-Washington_DC_District_of_Columbia.html', 'title', '40048P18', '7');",d11991586
3402,Private White House as an Office Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('37017P6','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('37017P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12089489-Private_White_House_as_an_Office_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '37017P6', '8');",d12089489
3420,Private Combo Tour: Arlington National Cemetery and the National...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990518-Private_Combo_Tour_Arlington_National_Cemetery_and_the_National_Museum_of_American_History-Washington_DC_District_of_Columbia.html', 'title', '40048P6', '9');",d11990518
3438,"Private, Exclusive DC City Tour","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('26722P6','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('26722P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d14019394-Private_Exclusive_DC_City_Tour-Washington_DC_District_of_Columbia.html', 'title', '26722P6', '10');",d14019394
3456,White House Pennsylvania Avenue and National Archives Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P16','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P16','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12928522-White_House_Pennsylvania_Avenue_and_National_Archives_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707P16', '11');",d12928522
3474,Small-Group Combo Tour: Arlington National Cemetery and the National...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P17','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P17','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990534-Small_Group_Combo_Tour_Arlington_National_Cemetery_and_the_National_Museum_of_American_History-Washington_DC_District_of_Columbia.html', 'title', '40048P17', '12');",d11990534
3492,Washington DC National Mall and Capitol Hill Private Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P21','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P21','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11991585-Washington_DC_National_Mall_and_Capitol_Hill_Private_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P21', '13');",d11991585
3510,Private Customized DC Sights Biking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41503P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41503P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990249-Private_Customized_DC_Sights_Biking_Tour-Washington_DC_District_of_Columbia.html', 'title', '41503P2', '14');",d11990249
3528,Washington DC Odyssey Brunch Cruise,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5042WASBRUN','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5042WASBRUN','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11450452-Washington_DC_Odyssey_Brunch_Cruise-Washington_DC_District_of_Columbia.html', 'title', '5042WASBRUN', '15');",d11450452
3546,DC Craft Cocktail Evening Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P74','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P74','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13107689-DC_Craft_Cocktail_Evening_Tour-Washington_DC_District_of_Columbia.html', 'title', '5713P74', '16');",d13107689
3564,DC Rickshaw Monuments Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6152P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6152P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11992305-DC_Rickshaw_Monuments_Tour-Washington_DC_District_of_Columbia.html', 'title', '6152P3', '17');",d11992305
3582,Washington DC Day Star Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5769P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5769P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988121-Washington_DC_Day_Star_Tour-Washington_DC_District_of_Columbia.html', 'title', '5769P6', '18');",d11988121
3600,History of Lincoln Rickshaw Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6152P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6152P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11992330-History_of_Lincoln_Rickshaw_Tour-Washington_DC_District_of_Columbia.html', 'title', '6152P4', '19');",d11992330
3618,Sightseeing tour in Kingdom of Bahrain -Private tour only,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('55787P18','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('55787P18','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g293997-d13819163-Sightseeing_tour_in_Kingdom_of_Bahrain_Private_tour_only-Manama.html', 'title', '55787P18', '20');",d13819163
3635,Private Segway Tour of DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P17','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P17','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13416040-Private_Segway_Tour_of_DC-Washington_DC_District_of_Columbia.html', 'title', '3707P17', '21');",d13416040
3653,Private History of Old Town Alexandria Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P9','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P9','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11481843-Private_History_of_Old_Town_Alexandria_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '25828P9', '22');",d11481843
3671,National Museum of American History Small-Group Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P14','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P14','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990465-National_Museum_of_American_History_Small_Group_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P14', '23');",d11990465
3689,Small-Group National Mall Walking Tour in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5411FRONT','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5411FRONT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11451486-Small_Group_National_Mall_Walking_Tour_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '5411FRONT', '24');",d11451486
3707,Washington DC Scavenger Hunt Adventure,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('10211P32','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('10211P32','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11458634-Washington_DC_Scavenger_Hunt_Adventure-Washington_DC_District_of_Columbia.html', 'title', '10211P32', '25');",d11458634
3724,National Gallery of Art Renaissance to Impressionists Guided Tour...,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('20135P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('20135P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13136002-National_Gallery_of_Art_Renaissance_to_Impressionists_Guided_Tour_from_WDC-Washington_DC_District_of_Columbia.html', 'title', '20135P4', '26');",d13136002
3741,Private Endorphin Inducing Bike Road Ride,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41503P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41503P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990248-Private_Endorphin_Inducing_Bike_Road_Ride-Washington_DC_District_of_Columbia.html', 'title', '41503P4', '27');",d11990248
3759,National Mall Museums Architecture Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('33458P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('33458P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11479153-National_Mall_Museums_Architecture_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '33458P2', '28');",d11479153
3777,Private DC Monuments at Night Biking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41503P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41503P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990025-Private_DC_Monuments_at_Night_Biking_Tour-Washington_DC_District_of_Columbia.html', 'title', '41503P1', '29');",d11990025
3795,Washington DC Wine-Tasting Tour by Pedicab,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6152PEDCWINE','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6152PEDCWINE','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988013-Washington_DC_Wine_Tasting_Tour_by_Pedicab-Washington_DC_District_of_Columbia.html', 'title', '6152PEDCWINE', '0');",d11988013
3814,Super Combo: New York in a Day plus Washington DC Day Trip,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('62527P6','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('62527P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g60763-d13286652-Super_Combo_New_York_in_a_Day_plus_Washington_DC_Day_Trip-New_York_City_New_York.html', 'title', '62527P6', '1');",d13286652
3835,Kalorama Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8918P11','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8918P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13960821-Kalorama_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '8918P11', '2');",d13960821
3853,Dupont Circle Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8918P10','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8918P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13960822-Dupont_Circle_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '8918P10', '3');",d13960822
3871,White House and Downtown Architecture Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('33458P5','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('33458P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11484621-White_House_and_Downtown_Architecture_Tour-Washington_DC_District_of_Columbia.html', 'title', '33458P5', '4');",d11484621
3890,Capitol Hill Architecture Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('33458P6','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('33458P6','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11484622-Capitol_Hill_Architecture_Tour-Washington_DC_District_of_Columbia.html', 'title', '33458P6', '5');",d11484622
